TIC1	TIC2
-0.9402642467306229	-0.5412198951412894
-0.8795455684733879	-0.5018594487513992
-0.8519003219297274	-0.5400531102348731
-0.8624097907832091	-0.3926595692632091
-0.8543934116815163	-0.5605683432986348
-0.8537975729567548	-0.5551424968227323
-0.8772978354880501	-0.4499147789617801
-0.8444428365229665	-0.6096726105717627
-0.8681924973585938	-0.5150038870524263
-0.8544526196117194	-0.5086725210314134
-0.8920478811536614	-0.6217472438104963
-0.8655133940755116	-0.5878022749264762
-0.8581937317478479	-0.6960628454786999
-0.8655441758274616	-0.4600613824649349
-0.8761224864213886	-0.43039383728885916
-0.8499460387453073	-0.5216153944241699
-0.8411803083498611	-0.5661057575110398
-0.8449961465772959	-0.7384242288027405
-0.8364528025725522	-0.5177585443905297
-0.84620932728747	-0.5763077254931708
-0.8363006639104235	-0.6331233991679204
-0.8396886342492008	-0.435130875517836
-0.8475117118642592	-0.3513843910026293
-0.828992813177861	-0.37090231431647513
-0.8563205136945076	-0.47027544032017454
-0.8827572346066241	-0.5229130553392518
-0.8492226433773993	-0.4121067957043749
-0.8345396598608139	-0.5420974665016662
-0.8759553857604339	-0.5828104449777634
-0.8810376429313234	-0.44658042561950717
-0.845650971443483	-0.4904472856304576
-0.8714576961458543	-0.46754915222616367
-0.8721412076624521	-0.6346531414060004
-0.8738823804670376	-0.5414984121916273
-0.8671868524735316	-0.44182026080372605
-0.8326577875612489	-0.41837431167039396
-0.8782537633107643	-0.5134207645339819
-0.845004919178163	-0.561261432653267
-0.8631625278818884	-0.45156865526718093
-0.8276720566831444	-0.35178328873127285
-0.8773138411911333	-0.5876505879465426
-0.8757322144058743	-0.723846279775664
-0.8897313725142332	-0.5891420758390122
-0.8836201793184394	-0.5016010564836355
-0.8845998339902224	-0.46678742378724314
-0.8764482331716876	-0.6599188924480615
-0.8696897184441644	-0.14590882127834703
-0.8703797598366678	-0.5095328565271537
-0.8698293961485446	-0.6270896356365685
-0.8636311599550754	-0.7809962835332748
-0.8485040927357681	-0.3329680913213635
-0.8580309424584271	-0.2683278246611982
-0.8692415192867328	-0.3333107226530787
-0.8773918954962088	-0.432564311508028
-0.8639491520187084	-0.5774392765649718
-0.8641672916519907	-0.5305167857576039
-0.887674322361198	-0.4922683530236722
-0.8677247269404468	-0.49561150236222895
-0.8830044557463965	-0.47205700910417514
-0.8688347319742766	-0.38016395738915554
-0.8415463963969942	-0.5901221200559137
-0.8454642165277408	-0.4515596191913187
-0.8160513188220855	-0.4937514451986613
-0.852025118173564	-0.4531328361950049
-0.8927329896024525	-0.2933686497289596
-0.8628682590703306	-0.41640779895907976
-0.822739313769661	-0.35417519289974475
-0.8060465504717936	-0.45166092108777844
-0.8706006927798872	-0.6072606401598375
-0.8593642625016035	-0.39010030459389444
-0.8651085774239151	-0.6933347913082946
-0.8322457610260902	-0.39323978856091957
-0.8658769323016565	-0.34169535759617364
-0.8815233285696006	-0.5630639179626975
-0.8523491428773085	-0.6599668594711279
-0.8301350360518842	-0.5051589580742926
-0.8512112939633988	-0.5488221717649591
-0.8667293091066428	-0.452904512346179
-0.8554231299564699	-0.5691793296572074
-0.8069778727880071	-0.6303727745155152
-0.8608776190592601	-0.44866638790301794
-0.8477936827322574	-0.37954504489671637
-0.8420387757100526	-0.3729672043043508
-0.8488451361342518	-0.3305973420492938
-0.8448058578033033	-0.264184584856066
-0.8673562035158074	-0.5239540285618194
-0.8676985659337666	-0.4372422768319355
-0.8528329654827912	-0.4364523573909822
-0.8490827634042346	-0.4360717837366068
-0.8851627809968043	-0.6315616249570826
-0.8557215406561482	-0.5712737862911124
-0.8851387116913958	-0.5081792524553594
-0.8366773537803899	-0.4918044721521484
-0.867880718052881	-0.4283599156839242
-0.8526000359483645	-0.36257327599803246
-0.8202921883728801	-0.5454171640603582
-0.8466942076412542	-0.46201436131033446
-0.8240764050821117	-0.37085400009924063
-0.8557815060769899	-0.4386628574016833
-0.8415800017678562	-0.2190824457294136
-0.8196704242285143	-0.3455212662177356
-0.8349896688073369	-0.20622325655382445
-0.8545301163539116	-0.40454545853250545
-0.8029649755840216	-0.3434955282795329
-0.8779003832636226	-0.5857088865571796
-0.8635011759276128	-0.5572152414265559
-0.8146406659097813	-0.4614659149146654
-0.8414832684218138	-0.4867510262485797
-0.8003242058033342	-0.52419213813595
-0.8490170044860365	-0.27101575095027286
-0.7971772296505228	-0.3600846980485768
-0.8112219012780394	-0.16843888016393116
-0.7869767317805629	-0.33040332627775726
-0.8141922083027981	-0.25846081762498896
-0.8016851108177724	-0.2967110430044251
-0.8320793048969777	-0.24307132548849797
-0.8152278084169791	0.10211256955133141
-0.7753090845600694	0.06321995729639873
-0.8100047879352353	0.20844664061454043
-0.8471348585751628	0.1588342179619282
-0.7906321321921311	0.059852639888667625
-0.8136080350308152	0.08918404506584121
-0.8219286144941383	0.15252174356514736
-0.8187882261578574	0.4073125958951058
-0.8496372129674201	-0.010034217033401127
-0.8264251702799917	-0.05690066861926368
-0.7820516401171728	0.20713839727035488
-0.7605930731562699	0.20201477547242064
-0.7657673639989732	0.22073139776228112
-0.7867951190990654	0.14570806167463868
-0.7571603640564895	0.1722354989032926
-0.7825064452631018	0.03579677456945651
-0.753466623429649	-0.008610455272140438
-0.7812022323641639	0.31205924166561383
-0.7975413783915207	-0.04318772565306617
-0.7781042403285885	-0.05083921427211635
-0.8103514978169359	0.04873101993997242
-0.8172566621245687	0.15256957198701881
-0.7588634933087955	0.3432550318709007
-0.7926401393861232	0.049230513996186165
-0.795561274439128	-0.09092416168056339
-0.8020826433595853	0.4350347886525645
-0.7689042041013174	-0.16546489266212294
-0.7893125096544132	0.08218482434121377
-0.7898463721388872	0.0688965379404225
-0.7485636171123515	0.18173629256304302
-0.8315604896526767	0.05876273307137181
-0.740736305032123	0.2547756399892416
-0.7911201502786986	0.37612966898525535
-0.7656592903107957	0.044446294605774206
-0.7839437934295473	0.17843483021035267
-0.7900386147055831	0.20580384495662507
-0.750941526564274	0.12377263304677388
-0.7729749584559158	0.27111298310034826
-0.7954655075880916	0.24538480546980956
-0.7856871566981003	0.10677448869115747
-0.770186202488462	0.2986001761102206
