TIC1	TIC2
-0.8939735312045041	-0.6340823477162321
-0.8615352628567292	-0.46403376703931354
-0.8605914373099047	-0.7459248603310797
-0.8541441931794057	-0.6642646506720449
-0.8676028041631133	-0.34987271962291233
-0.8900798585485065	-0.726484838154311
-0.8643218396823837	-0.5405240048754913
-0.8883064546342564	-0.639060549983391
-0.8780247346540262	-0.506532545336968
-0.8484411359921399	-0.34988750034128735
-0.894917983424454	-0.5679755625343739
-0.8870141444483697	-0.5316747784072233
-0.8604877423548931	-0.5704927884460025
-0.8532914039090664	-0.7206064584607881
-0.8781144678787477	-0.7402662225383883
-0.8569664911920725	-0.5254521881371073
-0.8541888264736835	-0.7862163828219768
-0.8976755256636441	-0.7301597059666727
-0.8338044402480349	-0.759080675156381
-0.8414556340794408	-0.5584674302322905
-0.8531127624647742	-0.8714614088653008
-0.8727596087522889	-0.8401855429484533
-0.8591490941106779	-0.8797531066967252
-0.886560786543083	-0.6667661225369756
-0.8618755246934944	-0.7368636108325402
-0.8629680194058293	-0.6042458389517091
-0.8904355526189818	-0.5498942223117727
-0.8440667111417297	-0.6352748069411924
-0.8461990216685731	-0.8393928603188261
-0.8068862502960852	-0.9107605930027636
-0.8492093544712545	-0.8791386125226213
-0.8785769224528838	-0.6556226562046392
-0.8998417850116479	-0.7019534537065635
-0.8851739637347869	-0.6341930280058814
-0.9004056798082242	-0.8178964418202441
-0.8534497598608835	-0.6843833635742422
-0.8666227822172587	-0.5869385825982905
-0.8635941812636443	-0.7129722027333614
-0.8806697949433185	-0.7420742920733101
-0.850367770118559	-0.7994096841277076
-0.8649264146769517	-0.7101677729086795
-0.8819653997252322	-0.7022439073167579
-0.861883672066854	-0.8945461185957004
-0.8855455627429278	-0.6361483663713288
-0.8572535525953413	-0.6658539429667849
-0.8501426548959405	-0.675959280338847
-0.8399432348248123	-0.445725144001174
-0.8546354313355198	-0.533476950569681
-0.87031960357655	-0.6978658020682689
-0.8331977093375179	-0.7615443150974865
-0.8674646800381655	-0.6100458477780464
-0.8940895830194966	-0.6802069936025212
-0.8458650295019292	-0.5162611229992087
-0.8557724454319711	-0.6510487990651477
-0.8837964996814764	-0.7751743499395767
-0.8438218828395159	-0.737599416082328
-0.8677854831498535	-0.5320592610957688
-0.880085940197912	-0.5989578626682821
-0.8846952783613176	-0.7186801311330813
-0.8619073094092681	-0.5468927017443228
-0.8586368363305824	-0.6653666585016684
-0.882919009714368	-0.6134080650260056
-0.8713346190603009	-0.762115400351056
-0.8657733019427971	-0.6095190767492324
-0.85088559843033	-0.7147792870376173
-0.8694313030135647	-0.6184471121855228
-0.871418725220842	-0.5583807219036698
-0.8585207774803574	-0.7364484707622796
-0.8582648914376549	-0.8003723215586254
-0.852258777696276	-0.6733227252319764
-0.8450365992376285	-0.6510974777299752
-0.8477927450119499	-0.6429827633568688
-0.8723077350746047	-0.7682481895219979
-0.846260036226949	-0.6235620320854438
-0.8555433618665057	-0.7298947422236797
-0.8628191738921501	-0.523828061375609
-0.8774615182204785	-0.543175648446502
-0.888779958924861	-0.5730846183771936
-0.8767169684988441	-0.7341765376604603
-0.8618646125547245	-0.6770266990877922
-0.8766979765468805	-0.47571911354951313
-0.8749848719718798	-0.5347878649461468
-0.8440688888713062	-0.5510840491661151
-0.8686604724809972	-0.5393973215498975
-0.8620372764782278	-0.604545128397286
-0.8516691030723932	-0.7473181956695854
-0.8777028925681986	-0.7334592690243911
-0.8721047497762173	-0.5815580330925179
-0.8650862105525952	-0.582274788165198
-0.8682951967935933	-0.5611373513348692
-0.8771186043792619	-0.7005074261291355
-0.8505451558395103	-0.7939076237505649
-0.884259496526434	-0.7862180941171939
-0.8492291801372857	-0.6398854541300949
-0.892200271484	-0.7159993930477877
-0.8444438447237027	-0.7838467245899907
-0.8418319046119238	-0.6285264691521948
-0.8657377726662402	-0.7609870246595021
-0.8399441334609825	-0.5623714059332587
-0.8748599567021869	-0.6349822999377999
-0.866179005224057	-0.6806489870247034
-0.8554602998402228	-0.4560134796807276
-0.8484473454684789	-0.6040777671876851
-0.8282522712164684	-0.6792489393681711
-0.8600540720414227	-0.5512544636249994
-0.8366216036087246	-0.8103739489534405
-0.8674613679652899	-0.7792641879523607
-0.8495653499525522	-0.8077401484520697
-0.8260177131025825	-0.6448703497322432
-0.8392337343696921	-0.6804777812154192
-0.8491613688977913	-0.5971438874242248
-0.8364927001772288	-0.8745656987084249
-0.8674892093975195	-0.5809162302358777
-0.8692780319075808	-0.6184484818373592
-0.840565549128204	-0.7571120944579652
-0.8555405215420891	-0.6919117588343724
-0.8429591550629015	-0.4595299443246206
-0.8636751218894374	-0.5611142685628758
-0.8218688777073943	-0.782955612311028
-0.8333995351261319	-0.7450350315939844
-0.8219724839872743	-0.6135252198210595
-0.8620550785024695	-0.6982133100954564
-0.8853085842575751	-0.6443005802889243
-0.9009873162556479	-0.6306366899941205
-0.8616544151057159	-0.44383845804466127
-0.8292286761841356	-0.6924618845770851
-0.8496072644810704	-0.7908068719243766
-0.869984422258206	-0.740803610907125
-0.8111745918334028	-0.7514636395857641
-0.8244704943130491	-0.6181751831080113
-0.8321916794356318	-0.7120803383880743
-0.8718061450177137	-0.6402735223196045
-0.8431762404107748	-0.8124688160181015
-0.848092408055298	-0.7788383220145314
-0.8680825833979575	-0.7725181945563655
-0.864709792973543	-0.679548870982821
-0.8266254207658321	-0.6587723023216645
-0.8922082325164709	-0.7149749808962835
-0.8565973795311256	-0.8064498050581541
-0.8434147050786176	-0.7746072749327393
-0.8517672295603178	-0.892098746062894
-0.8742451221682956	-0.7123408883941265
-0.8758907580524993	-0.8405038821176896
-0.8610788292287443	-0.764134338508228
-0.8688361977190469	-0.6759697573052481
-0.8729245206802375	-0.6819437753174493
-0.8751363177385577	-0.7477331209579949
-0.8491991289875022	-0.6992430152280082
-0.8473719723551514	-0.6010510021693998
-0.8136816931059087	-0.7355165064371958
-0.8328735771445033	-0.48593390552919846
-0.8604729140232583	-0.7164035908878059
-0.8403057639500973	-0.7314742419078661
-0.8562794443007362	-0.6252826063743879
-0.8214392801193967	-0.6347770490617601
-0.8698416291906214	-0.785875647380677
-0.8932274332885223	-0.725611199785027
-0.8373062359072072	-0.532449824516462
-0.8535425750107077	-0.43100753090681376
-0.883648308228802	-0.6584998826219515
-0.8630972877444185	-0.5969125292767821
-0.8469893576199377	-0.5249766042680033
-0.8959818519011638	-0.5024685686719037
-0.8419245281956371	-0.5452223587051952
-0.8677377900441503	-0.6097637960116398
-0.8547188632514655	-0.6463413754317693
-0.8735865495427422	-0.6965726656846751
-0.8569032799613896	-1.0062593660623769
-0.8547943767314925	-0.6162285485509331
-0.8745741052087492	-0.7319383011670513
-0.8709813922929431	-0.6064835119022378
-0.8946465708982267	-0.6589650351060494
-0.867821191452279	-0.6453861810654051
-0.8753054921611129	-0.7230229617679025
-0.8864683550864063	-0.7095730222716599
-0.8884440258837758	-0.7327471174785214
-0.8873164905212823	-0.6162825172386177
-0.9056945141281141	-0.4903173561664853
-0.8765073182338855	-0.565316074739926
-0.8985166006324283	-0.6353963141688026
-0.8871239377843803	-0.5837953184793752
-0.8775278530240869	-0.7117448971872179
-0.8870853311230822	-0.6821340061686323
-0.8831752764553154	-0.5019085040776168
-0.8861450353068472	-0.7278398856502735
-0.8382124208122589	-0.5939076233351503
-0.8600647124780278	-0.68974449037671
-0.8843754072696479	-0.627936956834108
-0.889323531198805	-0.5854247117771596
-0.8550823601992581	-0.7754846058348543
-0.9017626401752403	-0.7940464032311338
-0.8908291196419038	-0.5299348196664275
-0.8654088281370521	-0.558750708332131
-0.8759175513842586	-0.7463877894084341
-0.9016356635920892	-0.6852810163913459
-0.8790115594436723	-0.5040968093472284
-0.8781681551570334	-0.5493641059932566
-0.8801984090628805	-0.5175014949353898
-0.8990723053561172	-0.48865407932120997
-0.8709824631684135	-0.6238284102841205
-0.8751216987097744	-0.6433206583322377
-0.8283150529640376	-0.5706245175039779
-0.8862355096405967	-0.6747762047825288
-0.8808489040390683	-0.5803378766733824
-0.890183190752354	-0.7790622553165689
-0.8423927932057196	-0.7794803310883021
-0.8760961755609311	-0.8045909258853574
-0.8627439789649802	-0.43019220191248
-0.8924409766791788	-0.7553398432028406
-0.8809584768346392	-0.5383898782132497
-0.8934725847349125	-0.5982319278535062
-0.8954662775693558	-0.7431246351890257
-0.8974342768569715	-0.6462878352912798
-0.8842961167543972	-0.6193034618624318
-0.84530791244648	-0.49105524155677216
-0.8847649015752883	-0.8080553055089985
-0.8418451513999229	-0.831028701134761
-0.8949780466182999	-0.6924531460984862
-0.8609332733076527	-1.01298663444327
-0.8582667225423435	-0.7722249858745345
-0.8761940548883435	-0.7264936456068676
-0.8665212821352837	-0.6751236720356264
-0.8727858799463565	-0.7751944171189171
-0.8639427599663559	-0.7684302817141968
-0.8221491888779541	-0.7789073905492905
-0.862407963116314	-0.6770032064783806
-0.8652362202933321	-0.7023809797676441
-0.859877705842618	-0.6204380910510467
-0.8429641524628687	-0.7161995265360623
-0.8390796430566005	-0.3517082602427788
-0.840584581963049	-0.49952086138734497
-0.8440842155859508	-0.507469553306064
-0.8267894411817212	-0.48007348021019336
-0.8577454237488031	-0.5961882396002727
-0.8701518978899393	-0.6198092111005264
-0.8887550474163686	-0.6276200574311317
-0.8275571986632478	-0.5763061845478017
-0.9110310299220169	-0.6368448483061138
-0.8772916722430228	-0.4832668461253822
-0.8050933973602801	-0.585177595175252
-0.89186002941785	-0.6006583174186404
-0.8499466667462898	-0.5618424792266321
-0.8532609645990539	-0.533319842436204
-0.8366204050555783	-0.6185028258704754
-0.8753858305482276	-0.5295724870095806
-0.8538731458660025	-0.6485634474317514
-0.8794775049574334	-0.734074992032616
-0.8746964409327096	-0.4814980983078272
-0.8707121367140591	-0.5678875791256606
-0.8517409580966913	-0.3741749999328823
-0.8847743498063843	-0.48425112441602725
-0.8652323019304197	-0.4513121064501884
-0.8660833292985649	-0.5823935361371184
-0.8627247718340352	-0.4996121343065134
-0.864358662059648	-0.547059783838356
-0.8425601934171357	-0.6073336014385236
-0.879108375270998	-0.7127469938675923
-0.8602890677687897	-0.6568017836867321
-0.8709163608387591	-0.4538358967926812
-0.8345325403525309	-0.7876460807675869
-0.8989540999950635	-0.6434460201073906
-0.8687677941246681	-0.6794244959741849
-0.8782842399405102	-0.5459815522996876
-0.8737124552811708	-0.6501258734629594
-0.8718763946950631	-0.5195509878523277
-0.8592033615745011	-0.6613085458456753
-0.8802907608495409	-0.7361301729253005
-0.8972920266692982	-0.8602470769462345
-0.86794009409355	-0.5945282633312416
-0.8670053337904804	-0.7424513935736439
-0.8766151351986764	-0.6717691692048602
-0.8813856904030737	-0.7709670717284238
-0.8430778404741146	-0.6155149991592408
-0.8971844975044758	-0.6441200035899453
-0.799949084260619	-0.7175661531740802
-0.8890746946643244	-0.5877201381875095
-0.8571168215700419	-0.6999187322794667
