time(ps)	Q
0.0	0.97394663
20.0	0.97535855
40.0	0.9803174
60.0	0.95975584
80.0	0.9715176
100.0	0.9800312
120.0	0.98138726
140.0	0.9117096
160.0	0.9137457
180.0	0.9122345
200.0	0.95485675
220.0	0.938242
240.0	0.94609797
260.0	0.95997256
280.0	0.95621115
300.0	0.95622313
320.0	0.9602888
340.0	0.9337843
360.0	0.964464
380.0	0.97233623
400.0	0.96231246
420.0	0.88979197
440.0	0.9253408
460.0	0.9261474
480.0	0.9265565
500.0	0.9529819
520.0	0.9428521
540.0	0.9073288
560.0	0.8532206
580.0	0.93030477
600.0	0.93134475
620.0	0.9231672
640.0	0.90021765
660.0	0.9386863
680.0	0.8486324
700.0	0.81218135
720.0	0.8761854
740.0	0.72642225
760.0	0.7766787
780.0	0.67210317
800.0	0.6743448
820.0	0.62986624
840.0	0.7157634
860.0	0.7507195
880.0	0.7711603
900.0	0.70051104
920.0	0.86683923
940.0	0.7337456
960.0	0.7135696
980.0	0.71580875
1000.0	0.72014785
1020.0	0.6927161
1040.0	0.6193042
1060.0	0.6985498
1080.0	0.73429257
1100.0	0.6507468
1120.0	0.60905284
1140.0	0.7177531
1160.0	0.6739331
1180.0	0.6107159
1200.0	0.6054596
1220.0	0.65204674
1240.0	0.6903336
1260.0	0.6281569
1280.0	0.5816094
1300.0	0.6891371
1320.0	0.67813927
1340.0	0.6130979
1360.0	0.5717886
1380.0	0.62804073
1400.0	0.6059126
1420.0	0.6864501
1440.0	0.63201797
1460.0	0.6271225
1480.0	0.6246617
1500.0	0.5757892
1520.0	0.5497584
1540.0	0.5547065
1560.0	0.57581276
1580.0	0.508809
1600.0	0.54923147
1620.0	0.54959744
1640.0	0.5390393
1660.0	0.53118575
1680.0	0.5354
1700.0	0.5403929
1720.0	0.55533993
1740.0	0.52490896
1760.0	0.54211307
1780.0	0.5207658
1800.0	0.49415123
1820.0	0.5465457
1840.0	0.50437963
1860.0	0.4714334
1880.0	0.49390462
1900.0	0.48229152
1920.0	0.4629159
1940.0	0.4176095
1960.0	0.40453264
1980.0	0.47584683
2000.0	0.51561594
2020.0	0.524589
2040.0	0.5213942
2060.0	0.49713302
2080.0	0.48681805
2100.0	0.5185421
2120.0	0.5240173
2140.0	0.5330195
2160.0	0.5228895
2180.0	0.5264911
2200.0	0.48589826
2220.0	0.4420157
2240.0	0.47463706
2260.0	0.4757538
2280.0	0.47882292
2300.0	0.46193272
2320.0	0.5254357
2340.0	0.5241475
2360.0	0.483904
2380.0	0.46091568
2400.0	0.44771513
2420.0	0.41775787
2440.0	0.4424741
2460.0	0.4218423
2480.0	0.4456956
2500.0	0.48932722
2520.0	0.46951988
2540.0	0.4747259
2560.0	0.44419008
2580.0	0.45779562
2600.0	0.42554235
2620.0	0.42465714
2640.0	0.3910543
2660.0	0.404283
2680.0	0.39026153
2700.0	0.44120932
2720.0	0.37508154
2740.0	0.36535397
2760.0	0.38398308
2780.0	0.39816743
2800.0	0.39292508
2820.0	0.36839545
2840.0	0.3855425
2860.0	0.3597025
2880.0	0.37152812
2900.0	0.40248063
2920.0	0.36172935
2940.0	0.39275345
2960.0	0.3864648
2980.0	0.39070192
3000.0	0.40449086
3020.0	0.35438818
3040.0	0.37764803
3060.0	0.3852871
3080.0	0.37564138
3100.0	0.38107318
3120.0	0.39637125
3140.0	0.3324466
3160.0	0.40820265
3180.0	0.34788004
3200.0	0.41932246
3220.0	0.44711077
3240.0	0.37642124
3260.0	0.38946393
3280.0	0.35399348
3300.0	0.40216228
3320.0	0.40886027
3340.0	0.41402224
3360.0	0.37060258
3380.0	0.37577444
3400.0	0.36811048
3420.0	0.36845422
3440.0	0.40593615
3460.0	0.40808398
3480.0	0.3809036
3500.0	0.34385613
3520.0	0.34026098
3540.0	0.3748097
3560.0	0.3990459
3580.0	0.30798414
3600.0	0.3592871
3620.0	0.37580234
3640.0	0.37332574
3660.0	0.35659158
3680.0	0.36103117
3700.0	0.34177282
3720.0	0.34885973
3740.0	0.36399797
3760.0	0.36005366
3780.0	0.33768928
3800.0	0.41110858
3820.0	0.37835595
3840.0	0.3954899
3860.0	0.39353514
3880.0	0.39048952
3900.0	0.36316472
3920.0	0.358242
3940.0	0.35511965
3960.0	0.3246706
3980.0	0.36730587
4000.0	0.36247241
4020.0	0.46097353
4040.0	0.42837086
4060.0	0.42495033
4080.0	0.33606902
4100.0	0.37011424
4120.0	0.3885551
4140.0	0.32999966
4160.0	0.29376966
4180.0	0.32779607
4200.0	0.28485137
4220.0	0.28609926
4240.0	0.18496813
4260.0	0.2863354
4280.0	0.3217557
4300.0	0.31435612
4320.0	0.30214423
4340.0	0.35778657
4360.0	0.36077097
4380.0	0.35279462
4400.0	0.369954
4420.0	0.4219943
4440.0	0.35985404
4460.0	0.33851418
4480.0	0.29585207
4500.0	0.33585852
4520.0	0.4035193
4540.0	0.32666653
4560.0	0.3709068
4580.0	0.3661607
4600.0	0.3519699
4620.0	0.35969013
4640.0	0.37241352
4660.0	0.38443726
4680.0	0.34631836
4700.0	0.34256053
4720.0	0.35089833
4740.0	0.37375888
4760.0	0.3695252
4780.0	0.3631955
4800.0	0.32393703
4820.0	0.26631066
4840.0	0.27463782
4860.0	0.26426113
4880.0	0.33141246
4900.0	0.30108187
4920.0	0.29489806
